Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,2 ,1 ,0.000022 ,0.000022 ,0.000022000000000
var_decl ,3 ,1 ,0.000017 ,0.000017 ,0.000017000000000
var_decl ,4 ,1 ,0.000017 ,0.000017 ,0.000017000000000
var_decl ,5 ,1 ,0.000047 ,0.000047 ,0.000047000000000
var_decl ,6 ,1 ,0.000045 ,0.000045 ,0.000045000000000
var_decl ,7 ,1 ,0.000051 ,0.000051 ,0.000051000000000
this_binding ,19 ,20 ,0.000000 ,0.000001 ,0.000000050000000
assignment ,20 ,20 ,0.000001 ,0.000004 ,0.000000200000000
prop_setter ,21 ,20 ,0.000015 ,0.000058 ,0.000002900000000
this_binding ,22 ,20 ,0.000000 ,0.000001 ,0.000000050000000
assignment ,23 ,20 ,0.000001 ,0.000002 ,0.000000100000000
prop_setter ,24 ,20 ,0.000015 ,0.000021 ,0.000001050000000
this_binding ,25 ,20 ,0.000000 ,0.000001 ,0.000000050000000
assignment ,26 ,20 ,0.000001 ,0.000002 ,0.000000100000000
prop_setter ,27 ,20 ,0.000015 ,0.000022 ,0.000001100000000
this_binding ,28 ,20 ,0.000000 ,0.000001 ,0.000000050000000
assignment ,29 ,20 ,0.000001 ,0.000002 ,0.000000100000000
prop_setter ,30 ,20 ,0.000016 ,0.000023 ,0.000001150000000
this_binding ,31 ,20 ,0.000001 ,0.000005 ,0.000000250000000
assignment ,32 ,20 ,0.000001 ,0.000002 ,0.000000100000000
prop_setter ,33 ,20 ,0.000017 ,0.000023 ,0.000001150000000
this_binding ,34 ,20 ,0.000001 ,0.000001 ,0.000000050000000
assignment ,35 ,20 ,0.000001 ,0.000002 ,0.000000100000000
prop_setter ,36 ,20 ,0.000017 ,0.000024 ,0.000001200000000
this_binding ,37 ,20 ,0.000001 ,0.000001 ,0.000000050000000
assignment ,38 ,20 ,0.000001 ,0.000002 ,0.000000100000000
prop_setter ,39 ,40 ,0.000000 ,0.000027 ,0.000000675000000
func_decl_n ,40 ,1 ,0.000032 ,0.000032 ,0.000032000000000
meta ,46 ,4 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,48 ,4 ,0.000002 ,0.000003 ,0.000000750000000
unary_minus ,49 ,8 ,0.000000 ,0.000002 ,0.000000250000000
assignment ,51 ,4 ,0.000002 ,0.000003 ,0.000000750000000
unary_minus ,52 ,8 ,0.000000 ,0.000001 ,0.000000125000000
assignment ,54 ,4 ,0.000002 ,0.000002 ,0.000000500000000
multiplication ,55 ,8 ,0.000001 ,0.000004 ,0.000000500000000
assignment ,57 ,4 ,0.000002 ,0.000003 ,0.000000750000000
multiplication ,58 ,8 ,0.000001 ,0.000003 ,0.000000375000000
assignment ,60 ,4 ,0.000002 ,0.000003 ,0.000000750000000
unary_minus ,61 ,4 ,0.000001 ,0.000001 ,0.000000250000000
multiplication ,62 ,8 ,0.000000 ,0.000003 ,0.000000375000000
assignment ,64 ,4 ,0.000002 ,0.000003 ,0.000000750000000
multiplication ,65 ,8 ,0.000000 ,0.000006 ,0.000000750000000
retval ,66 ,4 ,0.000001 ,0.000001 ,0.000000250000000
func_decl_n ,68 ,1 ,0.000029 ,0.000029 ,0.000029000000000
meta ,74 ,4 ,0.000000 ,0.000001 ,0.000000250000000
